dmtcp_master5874,unamedtest,checkpoint,1.30724
dmtcp_master10804,unamedtest,checkpoint,1.13798
dmtcp_master11199,unamedtest,checkpoint,1.11769
dmtcp_master26188,unamedtest,checkpoint,1.15176
dmtcp_master26770,unamedtest,checkpoint,1.15732
dmtcp_master31314,unamedtest,checkpoint,1.17663
dmtcp_master31699,unamedtest,checkpoint,1.14534
dmtcp_master32132,unamedtest,checkpoint,1.14296
dmtcp_master1639,unamedtest,checkpoint,1.12843
dmtcp_master1956,unamedtest,checkpoint,1.12898
dmtcp_master2189,unamedtest,checkpoint,0.243069
dmtcp_master2362,unamedtest,checkpoint,0.236949
dmtcp_master18683,unamedtest,checkpoint,0.648345
